VISUAL NAME                                       :	#ITEMS
------------------------------------------------------------
Lassi                                             :	1
Almond jelly dessert                              :	1
Watercress with pork ribs soup                    :	1
Pulut inti                                        :	1
Makhani dal                                       :	1
Green bean cake                                   :	1
Watermelon                                        :	1
Bak kwa                                           :	1
Peanut candy                                      :	1
Teppanyaki beef                                   :	1
French toast                                      :	1
Ginseng chicken soup                              :	1
Croquette                                         :	1
Seasoned baby octopus                             :	1
Red ruby with coconut milk                        :	1
Chicken feet noodles soup                         :	1
Taco                                              :	1
Kaya cake                                         :	1
Braised pork ribs dim sum                         :	1
Mango                                             :	1
Mashed potato                                     :	1
Sake                                              :	1
Chicken and mushroom noodles soup                 :	1
Fried athirasam                                   :	1
Paper wrapped chicken                             :	1
Croissant                                         :	1
Dry beef noodles                                  :	1
Pak tong koh                                      :	1
Coffee bun                                        :	1
Savoury crepe                                     :	1
Hoon kuih                                         :	1
Mee bandung                                       :	1
Rice cracker                                      :	1
Stir fried mixed vegetable                        :	1
Apple                                             :	1
Fruit cake                                        :	1
Oyster meesua                                     :	1
Fish and chips                                    :	1
Bingsu                                            :	1
Vegetarian prawn                                  :	1
Boneless sardines                                 :	1
Bergedil                                          :	1
Sotong ball                                       :	1
Claypot rice with chicken                         :	1
Duck confit                                       :	1
Deep fried wanton                                 :	1
Mixed fruits                                      :	1
Churros                                           :	1
Kuih bahulu                                       :	1
Fish curry                                        :	1
Almond croissant                                  :	1
Steamed sponge cake                               :	1
Yakitori chicken skin                             :	1
Stir fried beansprouts                            :	1
Braised mixed vegetables                          :	1
Hot plate tofu                                    :	1
Cereal prawn                                      :	1
Hashbrown                                         :	1
Drunken prawn                                     :	1
Pomelo                                            :	1
Ondeh ondeh                                       :	1
Okonomiyaki                                       :	1
Muruku                                            :	1
Coconut water                                     :	1
Potong ice cream                                  :	1
Lamb chop                                         :	1
Stir fried cuttlefish with chilli                 :	1
Kuih pie tee                                      :	1
Chicken pie                                       :	1
Chicken drumsticks                                :	1
Stir fried kailan with meat                       :	1
Bo luo bao                                        :	1
Seafood tempura                                   :	1
Scrambled egg                                     :	1
Satay beehoon                                     :	1
Grilled stingray with sambal                      :	1
Fried pork chop                                   :	1
Braised intestine                                 :	1
Nasi tomato                                       :	1
Banana                                            :	1
Tandoori chicken                                  :	1
Seafood tom yum soup                              :	1
Dry prawn noodles                                 :	1
Fried hong kong egg noodles                       :	1
Beef bolognese                                    :	1
Barbecued spare ribs                              :	1
Yam rice                                          :	1
Shibuya toast                                     :	1
Rice kheer                                        :	1
White carrot cake                                 :	1
Fruit tart                                        :	1
Beef hor fun                                      :	1
Chocolate chip bread                              :	1
Soya milk with grass jelly                        :	1
Wine                                              :	1
Onion bhaji                                       :	1
Dark soy sauce chicken in claypot                 :	1
Crystal dumpling                                  :	1
Carrot cake with cream cheese                     :	1
Beancurd dessert with toppings                    :	1
Popiah                                            :	1
Chicken feet                                      :	1
Preserved egg                                     :	1
Guava                                             :	1
Espresso                                          :	1
Hot and sour noodle soup                          :	1
Chwee kway                                        :	1
Ipoh hor fun                                      :	1
Crispy fried fish skin                            :	1
Char siew soh                                     :	1
Pig's stomach soup                                :	1
Chocolate tart                                    :	1
Sweet potato porridge                             :	1
Yakitori chicken                                  :	1
Curry udon                                        :	1
Plum                                              :	1
Chinese style chicken and corn soup               :	1
Boiled black chicken                              :	1
Dragonfruit                                       :	1
Beef ball kway teow soup                          :	1
Grass jelly dessert with toppings                 :	1
Chicken macaroni soup                             :	1
Braised pig trotter with mushroom                 :	1
Beef ball soup                                    :	1
Stir fried garlic chives with prawn               :	1
Black sesame paste                                :	1
Pumpkin soup                                      :	1
Thairu                                            :	1
Soon kway                                         :	1
Red wine chicken mee sua                          :	1
Chocolate sundae                                  :	1
Bread with cheese cubes                           :	1
Roasted pork belly                                :	1
Lor mee                                           :	1
Xxl crispy fried chicken                          :	1
Langsat                                           :	1
Sambal goreng                                     :	1
Cherry tomato                                     :	1
Sup tulang                                        :	1
Orange                                            :	1
Coconut ice cream                                 :	1
Sotong masak hitam squid cook with squid ink      :	1
Sweet potato fries                                :	1
Chocolate lava cake                               :	1
Fried mantou                                      :	1
Nasi minyak                                       :	1
Duck rice                                         :	1
Tau suan with dough fritters                      :	1
Flavoured donut                                   :	1
Fa cai in oyster sauce                            :	1
Snowskin mooncake                                 :	1
Strawberry shortcake                              :	1
Pad thai                                          :	1
Duck noodles soup                                 :	1
Yam pau                                           :	1
Roasted barley tea                                :	1
Sweet and sour prawn                              :	1
Winter melon and pork ribs soup                   :	1
Bak kut teh                                       :	1
Pasta vongole                                     :	1
Quail egg                                         :	1
Egg sambal                                        :	1
Chia seeds                                        :	1
Oatmeal with fruits                               :	1
Chicken herbal soup                               :	1
Barley drink                                      :	1
Sesame seed ball                                  :	1
Kuih lopes pulut                                  :	1
Brinjal pachadi                                   :	1
Pandan bread                                      :	1
Deep fried soft-shell crab                        :	1
Bottled milk tea                                  :	1
Suan la fen                                       :	1
Papaya salad                                      :	1
Danish pastry                                     :	1
Jam tart                                          :	1
Water chestnut                                    :	1
Braised egg in soya sauce                         :	1
Banana chips                                      :	1
Yam paste                                         :	1
Ketupat                                           :	1
Beef don                                          :	1
Salted egg squid                                  :	1
Fried baby sotong                                 :	1
Spirits                                           :	1
Pumpkin seed                                      :	1
Boiled cauliflower                                :	1
Cabbage soup with pork                            :	1
Lontong with sayur lodeh                          :	1
Chasoba                                           :	1
Hot chocolate/coffee/chocolate ice blended drink with whipped cream:	1
Soft serve cone                                   :	1
Cheese and ham bun                                :	1
Hokkien mee                                       :	1
Soya sauce chicken noodles                        :	1
Garlic bread                                      :	1
Tofu soup with rice                               :	1
Muah chee                                         :	1
Seafood tom yum ban mian                          :	1
Walnut                                            :	1
Loveletter                                        :	1
Roti john                                         :	1
Kimchi fried rice                                 :	1
Avocados                                          :	1
Braised pork with black fungus                    :	1
Grass jelly drink                                 :	1
Vegetarian brown rice porridge                    :	1
Putu piring                                       :	1
Stir fried eggplant                               :	1
Kuih dodol                                        :	1
Fish ball soup                                    :	1
Hong shao tofu                                    :	1
Durian cake                                       :	1
Blueberry                                         :	1
Non food                                          :	1
Tea leaf egg                                      :	1
Chocolate biscuit                                 :	1
Fruit salad                                       :	1
Stir fried prawn with broccoli                    :	1
Carrot soup with potato and pork ribs             :	1
Fried fish masala                                 :	1
Rasgula                                           :	1
Stir fried udon                                   :	1
Eggs benedict                                     :	1
Stir fried fish                                   :	1
Teriyaki chicken don                              :	1
Kuih bangkit                                      :	1
Stir fried spinach                                :	1
Fried mock fish                                   :	1
Kuih makmur                                       :	1
Plain porridge                                    :	1
Pineapple                                         :	1
Pulled pork burger                                :	1
Getuk ubi                                         :	1
Boiled kampung chicken                            :	1
Donut with cream filling                          :	1
Salted egg yolk custard buns                      :	1
Raisin                                            :	1
Abok abok sago                                    :	1
Marshmallow                                       :	1
Xiao wan mian                                     :	1
Salted egg                                        :	1
Canned fruits                                     :	1
Crepe cake                                        :	1
